Respondent,Age Group,Gender,Occupation,Last Purchase Time,Upgrade Frequency,Price Range,Purchasing Platform,Smartphone Brand,Camera Quality,Battery Life,RAM Capacity,Display Size & Resolution,Processor Performance,Internal Storage,OS & Interface,5G Support,Build Quality & Design,Software Updates,Value evolution for price with time,I consider budget a primary constraint when buying a smartphone.,I am willing to pay more for premium smartphones with high-performance features.,I value brand reputation over cost.,I only consider smartphones within a fixed price range.,I actively seek discounts and offers before making a purchase.,I am willing to delay my purchase for a better model within budget.,Have you changed your smartphone brand in your last purchase?,"If yes, what was the reason for switching?",How likely are you to stay with your current brand in your next purchase?,What factors would motivate you to switch brands in the future?,Which smartphone feature do you consider most critical? Why?,What is your perception of value for money in the smartphone market today?,What improvements would you like to see in upcoming smartphone models?
1,18–24,Male,Student,Within the last 6 months,Every 2 years or less,$120 – $360,Online,Samsung,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Better features in new brand,Very likely,"If another brand offers significantly better camera features, I’d definitely consider switching.","Battery life, it dictates how long I can stay connected during work or travel.",I think mid-range phones now offer excellent value they cover almost all premium features at half the price.,Longer battery life that can comfortably last two full days.
2,18–24,Female,Working Professional,6–12 months ago,Every year or less,$360 – $600,Offline,Apple,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Neutral,Agree,Agree,Disagree,No,No Change,Somewhat likely,Competitive pricing with high-end specifications is a big motivator for me.,"A good camera, as I use my phone to capture daily moments and content for social media.","The market has become competitive, so consumers are getting more for less.",More durable build phones that don’t crack easily when dropped.
3,25–34,Male,Student,1–2 years ago,Only when necessary,More than $600,Both equally,Apple,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,No,No Change,Neutral,I'd move to a different brand if the current one stops giving timely updates.,Processor performance is key because I multitask a lot and expect smooth functioning.,Flagship models feel overpriced for the marginal upgrades they offer yearly.,I’d love to see better heat management during gaming or heavy use.
4,18–24,Female,Working Professional,6–12 months ago,Every 3 years or more,$120 – $360,Online,Samsung,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Yes,Better price-value proposition,Very likely,Durability and build quality improvements in another brand could convince me.,"RAM capacity matters most to me to avoid lag, especially with multiple apps open.","Budget smartphones have improved drastically, which is great for value seekers.",Manufacturers should provide longer software update cycles.
5,25–34,Male,Student,Within the last 6 months,Every year or less,$360 – $600,Online,Apple,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Disagree,Neutral,Yes,Poor experience with previous brand,Somewhat unlikely,Poor after-sales service would push me to look elsewhere.,"For me, it’s the display quality; I stream a lot and need a vibrant screen.","Some brands provide better value than others—Xiaomi and Motorola, for example.","Less bloatware, especially in Android phones."
6,25–34,Male,Student,Within the last 6 months,Every 2 years or less,$120 – $360,Offline,Huawei,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,No,No Change,Somewhat likely,If a new brand consistently gets great reviews from tech experts.,"I prioritize internal storage, since I keep a lot of photos, videos, and files on my phone.","You can get powerful hardware in the mid-range, which wasn’t possible earlier.",Better camera performance in low-light conditions.
7,35–44,Female,Working Professional,1–2 years ago,Only when necessary,Less than $120,Online,Samsung,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Yes,Peer influence or reviews,Neutral,"Battery performance is crucial—if another brand offers longer life, I’m in.",Software experience is most important. A clean UI and regular updates make a huge difference.,I feel we’re paying more now for software promises than hardware.,Standardized charging ports across all devices.
8,18–24,Male,Student,More than 2 years ago,Every 3 years or more,$120 – $360,Both equally,Google,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,No,No Change,Very likely,Innovations like foldable screens or satellite connectivity might attract me.,Battery efficiency stands out what’s the point of features if the phone dies mid-day?,"There’s better price segmentation, so users can choose what fits their budget.",Foldable phones becoming more affordable and practical.
9,25–34,Male,Self-Employed,6–12 months ago,Every year or less,$120 – $360,Online,Xiaomi,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,No,No Change,Very likely,I’d switch for better design aesthetics combined with performance.,I value the OS stability and performance more than anything else.,"Apple and Samsung still charge a premium, but their ecosystem and support justify it for some.",Improved front cameras for clearer video calls.
10,35–44,Female,Student,Within the last 6 months,Every 2 years or less,$360 – $600,Offline,Oppo,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Yes,Better features in new brand,Somewhat likely,Peer influence and word-of-mouth still play a big role in my decision.,The camera is a top priority; smartphone photography is my creative outlet.,"The value proposition depends on the user, high end users may still find flagships worth it.",Smaller phones with flagship specs for people who don’t like large screens.
11,25–34,Male,Student,1–2 years ago,Only when necessary,$120 – $360,Online,Samsung,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,No,No Change,Neutral,If a different OS like iOS or clean Android experience feels more intuitive.,Fast charging support is something I look for it saves time daily.,"Mid-tier devices today offer close to flagship-level specs, which is impressive.",I’d appreciate better speaker quality for calls and media.
12,18–24,Male,Working Professional,6–12 months ago,Every year or less,$360 – $600,Both equally,Apple,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Yes,Better features in new brand,Very likely,Any brand offering superior privacy and security features would catch my attention.,I believe a powerful chipset makes or breaks a phone experience.,The balance between price and performance has improved over the years.,More eco-friendly materials and recyclable components.
13,18–24,Female,Student,1–2 years ago,Every 2 years or less,$360 – $600,Online,Samsung,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Yes,Better price-value proposition,Very unlikely,Brand trust and ethical business practices could sway me to change.,Display resolution and refresh rate matter as I game frequently.,Many phones now bundle extra features like 5G and high refresh rates at affordable rates.,True waterproofing instead of just splash resistance.
14,25–34,Male,Self-Employed,Within the last 6 months,Every 3 years or more,Less than $120,Online,Samsung,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Disagree,Agree,No,No Change,Somewhat likely,If the brand I'm using becomes overpriced compared to competitors.,"Storage expandability is crucial for my usage, especially without cloud reliance.",I think some phones are overpriced for what they deliver especially from premium brands.,Optimized software that doesn’t slow down over time.
15,25–34,Male,Student,More than 2 years ago,Every 3 years or more,$120 – $360,Offline,Xiaomi,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,No,No Change,Very likely,Access to newer technologies like AI-enhanced processing.,Camera versatility is critical for my content needs.,"Overall, the market has matured in pricing, giving more choices to consumers.",Integrated stylus support in mid-range phones.
16,18–24,Female,Working Professional,Within the last 6 months,Every year or less,$360 – $600,Both equally,Apple,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Disagree,Yes,Poor experience with previous brand,Neutral,My next switch will depend on value for money and long-term reliability.,The design and in-hand feel are most important. I want a device that feels premium.,"I see good value in mid segment phones; beyond that, the ROI decreases.",Customizable UI without needing third-party launchers.
17,18–24,Male,Student,6–12 months ago,Only when necessary,$120 – $360,Online,Samsung,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Yes,Peer influence or reviews,Somewhat unlikely,Discounts or trade-in programs by other brands can tempt me.,"A smooth, responsive UI ranks highest in my checklist.",Smartphone companies seem more aware of customer expectations than before.,Better thermal design so phones don’t overheat.
18,35–44,Female,Working Professional,Within the last 6 months,Every 2 years or less,$120 – $360,Online,Huawei,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Neutral,No,No Change,Very likely,My decision would be based on whether another brand fits my work use better.,I value water resistance it adds peace of mind with accidental spills.,"There’s good value, but also a lot of gimmicks that inflate prices unnecessarily.",Unified Android experience less variation between brands.
19,25–34,Female,Student,1–2 years ago,Every year or less,$360 – $600,Offline,Apple,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Yes,Better features in new brand,Somewhat likely,If the current brand starts showing performance issues after 1 year.,RAM and storage together matter for seamless performance over time.,Some brands are pushing out devices with high specs but poor long-term software support.,Transparent pricing with fewer hidden costs or accessories removed.
20,18–24,Male,Working Professional,6–12 months ago,Every 2 years or less,Less than $120,Both equally,Xiaomi,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,No,No Change,Very likely,Customer support experience is a big factor in my next brand decision.,The reliability of the software ecosystem is key for me.,"Competitive pricing is common now, especially in online-exclusive models.",Higher refresh rates without draining the battery.
21,25–34,Male,Student,Within the last 6 months,Every year or less,$120 – $360,Online,Samsung,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Yes,Better price-value proposition,Very likely,I’d switch if another brand provided regular Android upgrades without bloatware.,Security features like fingerprint or face unlock top my list.,"The definition of ""value"" varies some look for camera, others for battery or gaming.","Night mode and zoom on all cameras, not just the main one."
22,18–24,Female,Self-Employed,1–2 years ago,Only when necessary,$360 – $600,Offline,Google,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Yes,Better features in new brand,Somewhat likely,Strong resale value in other brands could be persuasive.,A good display makes everything from reading to watching easier and enjoyable.,"Software updates are not consistent across brands, which affects value perception.",Less aggressive battery optimization that affects notifications.
23,25–34,Male,Unemployed,More than 2 years ago,Every 3 years or more,$360 – $600,Both equally,Huawei,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,No,No Change,Somewhat likely,"Visual appeal, especially screen quality and design, matters to me.",Battery life is essential; a phone should last the entire day without charge anxiety.,"I feel value has gone up in recent years, especially with Chinese brands entering globally.",Advanced AI features for photo editing and app management.
24,35–44,Female,Working Professional,6–12 months ago,Every 2 years or less,$360 – $600,Online,Apple,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Neutral,Strongly Agree,Agree,Disagree,Yes,Others,Neutral,A compelling advertisement or influencer promotion might make me try something new.,I prioritize 5G support to be future-ready.,It depends some phones look good on paper but disappoint in real use.,I hope they improve one-handed usability again.
25,18–24,Male,Working Professional,1–2 years ago,Every year or less,Less than $120,Online,Samsung,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Yes,Better price-value proposition,Very likely,I follow trends and might shift if the market buzz supports it.,Having a consistent software update cycle gives me confidence in the brand.,"For casual users, even entry-level phones now do the job well.",Smoother transition animations and gesture controls.
26,25–34,Male,Student,Within the last 6 months,Every year or less,$120 – $360,Offline,Motorola,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Neutral,Strongly Agree,Agree,No,No Change,Very likely,Lack of innovation in my current brand would make me try competitors.,"Sound quality is crucial, especially for calls and media.",I believe refurbished or older models offer better value than brand-new flagships.,Lighter phones without compromising battery capacity.
27,18–24,Female,Self-Employed,6–12 months ago,Only when necessary,$120 – $360,Both equally,Xiaomi,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Yes,Better features in new brand,Neutral,I always compare multiple models before purchase—performance is key.,"For me, camera quality takes the top spot, I travel a lot and avoid DSLRs.","It’s better than before, but still confusing due to too many similar models.",Wider availability of software customization features.
28,25–34,Male,Student,Within the last 6 months,Every 3 years or more,$360 – $600,Online,Samsung,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Neutral,No,No Change,Somewhat unlikely,If my favorite apps work better on another brand.,I really appreciate a durable design I don’t like changing phones frequently.,"True value comes from reliability and long-term support, not specs alone.",Enhanced privacy controls baked into the system.
29,25–34,Male,Working Professional,1–2 years ago,Every year or less,$120 – $360,Online,Apple,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Better features in new brand,Somewhat likely,Ergonomics and ease of use—if another brand gets this right.,RAM matters a lot I hate it when phones lag after a few months.,"Companies are bundling more, like chargers or cases, which adds to perceived value.",Better signal reception and call quality.
30,25–34,Female,Student,More than 2 years ago,Every 2 years or less,Less than $120,Offline,Huawei,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Disagree,Agree,Yes,Peer influence or reviews,Neutral,I’m open to trying brands that provide more customizable features.,"Display size and clarity it affects daily usage like reading, scrolling, and typing.",I feel marketing has started to outshine actual product value in some cases.,More consistent update schedules across all brands.
31,35–44,Female,Self-Employed,Within the last 6 months,Every 3 years or more,$120 – $360,Both equally,Samsung,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,No,No Change,Very likely,I research a lot—consistent performance ratings might motivate me.,A strong and responsive processor is vital for gaming and switching apps quickly.,Some phones deliver amazing performance at half the cost of big names.,Support for eSIM and dual-SIM on more models.
32,18–24,Male,Working Professional,Within the last 6 months,Every year or less,$120 – $360,Online,Samsung,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Yes,Poor experience with previous brand,Somewhat likely,Fast charging speed and USB-C availability influence me.,"Battery optimization, especially with background apps, is crucial.",There's a clear shift toward maximizing specs for lower price brackets.,Wireless charging even in budget phones.
33,18–24,Female,Student,1–2 years ago,Every 2 years or less,$360 – $600,Online,Apple,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Neutral,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,No,No Change,Somewhat likely,I'd consider switching for better integration with other devices I own.,Performance and heat management during long calls or gaming is my main concern.,"I think it’s easy to find value, but harder to find consistency.",Built-in screen protectors or stronger display glass.
34,25–34,Male,Working Professional,Within the last 6 months,Only when necessary,$120 – $360,Offline,Google,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,No Change,Very likely,If I find a model that lasts longer without heating issues.,"Internal storage, it runs out too fast with apps and media these days.",Features like fast charging and AMOLED displays are now common even in mid-range and even in some low-segment devices.,More vibrant and power-efficient displays.
35,18–24,Male,Student,6–12 months ago,Every 3 years or more,Less than $120,Both equally,Samsung,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Yes,Better features in new brand,Very likely,Recommendations from friends and family still hold weight.,"A well-optimized UI, too many features are useless without good implementation.",The lower-mid segment is exploding with great options.,Battery health monitoring like on laptops.
36,25–34,Female,Student,1–2 years ago,Every year or less,$120 – $360,Online,Huawei,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,No,No Change,Somewhat unlikely,I like exploring tech—trying new brands gives me excitement.,Camera features like OIS and night mode add serious value.,There’s too much variety—it overwhelms buyers trying to compare value.,Consistent camera quality across all lenses.
37,18–24,Female,Working Professional,More than 2 years ago,Every 2 years or less,More than $600,Online,Google,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly Agree,Agree,Yes,Better price-value proposition,Neutral,If a competitor offers better value bundles (phone + accessories).,Processor speed is essential for app launches and daily responsiveness.,Real value lies in sustained performance over time.,Reduce notch size or completely remove it.
38,25–34,Male,Student,6–12 months ago,Every year or less,$360 – $600,Offline,Apple,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Disagree,Neutral,Disagree,Neutral,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Disagree,Yes,Others,Somewhat likely,I might shift if a brand consistently wins user satisfaction awards.,A large battery is what I always look for - power users like me need it.,It has improved but we still need better regulation on what constitutes value.,Increased RAM and storage on base variants.
39,35–44,Female,Unemployed,Within the last 6 months,Only when necessary,$120 – $360,Both equally,Xiaomi,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Disagree,Strongly Agree,No,No Change,Very likely,My next choice depends on mobile gaming capabilities.,Smooth animations and transitions make the experience feel premium.,I often compare online reviews to judge value; brands alone are not enough.,Brighter screens for better outdoor visibility.
40,18–24,Male,Working Professional,1–2 years ago,Every 3 years or more,Less than $120,Online,Samsung,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,No,No Change,Very unlikely,Some brands just feel better in the hand—I'd go for that.,5G and Wi-Fi stability are critical since I work remotely.,"The market is moving toward offering more value, but some regions get limited options.",Improved haptic feedback for a more premium feel.
41,18–24,Female,Student,Within the last 6 months,Every 2 years or less,$360 – $600,Online,Oppo,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Yes,Better features in new brand,Somewhat likely,Repair costs and ease of service availability affect my choice.,I want a camera that works great even in low light.,Gaming phones and camera phones are now available in multiple price tiers.,More security features like fingerprint under display and face unlock together.
42,25–34,Prefer not to say,Student,6–12 months ago,Every year or less,$120 – $360,Offline,Apple,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Agree,No,No Change,Very likely,If a brand offers dual physical SIMs with 5G support.,Operating system support for at least 3 years is a must.,Brand loyalty affects value perception I see some people overpay out of habit.,Native support for call recording and screen sharing.
43,25–34,Male,Self-Employed,1–2 years ago,Only when necessary,$120 – $360,Both equally,Samsung,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Yes,Better price-value proposition,Somewhat likely,Smooth UI and ad-free interface could drive me to switch.,Build quality—it ensures the phone doesn't feel cheap or wear out easily.,The budget category offers solid daily use phones with few compromises.,Modular design where parts like camera or battery can be upgraded.
44,18–24,Female,Working Professional,6–12 months ago,Every year or less,Less than $120,Online,Xiaomi,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Neutral,Agree,Disagree,Agree,Yes,Poor experience with previous brand,Neutral,"Long-term OS support, especially from Google or Apple, is essential.",Display protection like Gorilla Glass is essential for daily use.,There’s a sweet spot around mid-range segment for best value across needs.,Pre-installed health monitoring sensors like thermometer or blood oxygen level.
45,35–44,Male,Student,More than 2 years ago,Every 2 years or less,$360 – $600,Online,Huawei,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Strongly Agree,No,No Change,Very likely,I’m brand flexible as long as performance and price are balanced.,Multitasking ability with good RAM helps me use the phone productively.,"Overall, the consumer wins now more than a few years ago.",Phones that perform well for longer without performance degradation.
46,25–34,Prefer not to say,Working Professional,6–12 months ago,Every 3 years or more,$120 – $360,Offline,Vivo,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,No,No Change,Very likely,More eco-friendly materials and packaging would be appreciated.,A simple and user-friendly interface makes a phone usable for all ages.,There's more innovation in mid-range than in top-tier segments lately.,Integration with more smart home systems and accessories.
47,25–34,Female,Student,Within the last 6 months,Every year or less,More than $600,Both equally,Samsung,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Yes,Peer influence or reviews,Somewhat likely,If the camera is optimized for low-light photography.,Good thermal performance—I hate overheating during long sessions.,"People expect longer software support now, and that shapes the value judgment.",A real focus on reducing carbon footprint during manufacturing.
48,18–24,Male,Self-Employed,1–2 years ago,Only when necessary,$360 – $600,Online,Apple,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Yes,Better features in new brand,Somewhat unlikely,Innovative features like periscope zoom or under-display camera may convince me.,"Gaming requires not just a fast processor, but also a good GPU.","Value is not just specs - service centres, UI experience, and accessories also matter.",Enhanced compatibility between devices of different ecosystems.
49,25–34,Male,Unemployed,Within the last 6 months,Every 2 years or less,$120 – $360,Online,Xiaomi,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,No,No Change,Somewhat likely,I often wait for tech reviewers’ verdicts before switching brands.,A smooth experience over time that’s why I look at hardware-software balance.,I believe the value gap between high-end and mid-range is narrowing.,Clearer value differentiation between model variants.
50,18–24,Female,Working Professional,6–12 months ago,Every year or less,Less than $120,Both equally,Google,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,No Change,Very likely,"Overall value—specs, brand reputation, and future-proofing is what I look at.",All-day battery and fast charging—it’s the combo I can’t compromise on.,Most phones today are good enough; spending too much rarely feels justified.,I’d love to see universal fast charging standards across all brands.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
